orbit_id,dataset_id,system,source_orbit_type,orbit_type,variant,libration_point,branch,resonance,source_file,source_row,x,y,z,vx,vy,vz,jacobi,period,stability,mu,length_unit_km,time_unit_s,radius_secondary,script_status
earth-moon_butterfly_N:000001,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,2,0.940999792653582,1.9004415956504988e-23,0.5094742997896742,2.968937906644994e-13,-0.1249680203755695,-3.1227170661082715e-12,2.74541236091503,11.555291205753774,211.184678346281,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000002,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,3,0.9411793589316046,5.262564232404186e-24,0.5091836855684442,2.5989655337246964e-13,-0.12520262166929247,-2.6589620497616393e-12,2.74568382273584,11.554070237792212,210.899493298596,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000003,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,4,0.9413588489542266,-2.1285577692525662e-24,0.5088929941584432,3.438296010986249e-13,-0.12543719231760125,-3.9542946613387495e-12,2.74595513416263,11.552847337125039,210.614315314131,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000004,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,5,0.9415382626322261,-8.59269777185174e-24,0.5086022255648022,2.9023396236930883e-13,-0.12567173227041253,-3.252212199707876e-12,2.74622629515743,11.551622499739926,210.329144849171,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000005,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,6,0.9417175998760863,3.0471563332803855e-23,0.5083113797926305,3.268212287014744e-13,-0.1259062414775841,-3.78221667146095e-12,2.74649730568244,11.550395721613599,210.043982616603,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000006,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,7,0.9418968605960393,1.549896172894449e-23,0.5080204568470342,3.1703471330841295e-13,-0.12614071988858444,-3.673296456296404e-12,2.74676816570002,11.549166998711813,209.758829167218,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000007,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,8,0.9420760447020584,6.95660390132067e-24,0.5077294567330981,2.6855266981687475e-13,-0.12637516745273414,-2.8620496664558246e-12,2.7470388751727,11.547936326989353,209.47368511195,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000008,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,9,0.9422551521038296,9.643701670955633e-24,0.5074383794558983,2.961188997247042e-13,-0.12660958411912332,-3.330290962866139e-12,2.74730943406317,11.546703702389769,209.188551030105,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000009,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,10,0.9424341827107983,7.116089634641248e-24,0.5071472250204924,2.6759915578881344e-13,-0.1268439698365296,-2.9047661096398717e-12,2.74757984233429,11.545469120845771,208.903427525358,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N:000010,earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,11,0.9426131364321172,1.76394634860775e-24,0.5068559934319232,3.1536371989425964e-13,-0.12707832455359272,-3.791053524877533e-12,2.74785009994909,11.544232578278688,208.618315192222,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
