orbit_id,dataset_id,system,source_orbit_type,orbit_type,variant,libration_point,branch,resonance,source_file,source_row,x,y,z,vx,vy,vz,jacobi,period,stability,mu,length_unit_km,time_unit_s,radius_secondary,script_status
earth-moon_dpo:000001,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,2,0.9917097911188427,-1.1186055170821383e-28,1.1843230460755093e-108,1.5459907178321783e-13,2.511796343611325,7.134105262937656e-105,2.93749448467141,9.640037345181575,2656.25369089274,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000002,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,3,0.9917126673854038,-9.630562702905975e-29,-6.1572304788496735e-87,8.854673689996265e-14,2.5108593052321693,-1.20062759244975e-83,2.93751420317106,9.639096644049541,2651.74196346805,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000003,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,4,0.9917155466291233,8.78658090834999e-28,1.0342309962346412e-65,1.9027681410475387e-13,2.5099223401605206,-1.1106846897618415e-61,2.93753393095874,9.638155188185966,2643.24505879075,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000004,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,5,0.9917184288536888,2.6855458589835186e-30,-3.08914814930365e-134,5.5107008103420385e-14,2.508985448490054,5.7148303484043e-130,2.93755366804238,9.637212976884452,2639.2573949635,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000005,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,6,0.9917213140627946,-4.6422415383377526e-29,1.404300562838812e-54,1.9266263323151622e-13,2.508048630314316,1.065791029367135e-49,2.9375734144275,9.63627000943999,2642.50804912123,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000006,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,7,0.9917242022601374,2.412889559988124e-28,-3.501722431633344e-66,2.2884421467165776e-13,2.507111885727548,2.685227863904049e-62,2.93759317012139,9.635326285142735,2642.79741009849,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000007,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,8,0.9917270934494206,-3.928463844958736e-28,1e-323,1.9101530124061687e-13,2.506175214823763,-6.7475e-320,2.93761293512946,9.634381803284708,2651.58432490945,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000008,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,9,0.9917299876343526,5.474992582552268e-28,5.567775717951603e-135,1.6412390666539082e-13,2.5052386176969166,-4.74603221415187e-131,2.93763270945814,9.63343656315875,2639.88340435826,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000009,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,10,0.9917328848186464,2.089094648855021e-27,-8.12493437933248e-270,3.576356267411558e-13,2.5043020944411842,-4.405118476235709e-266,2.93765249311394,9.632490564056429,2639.50198384684,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dpo:000010,earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,11,0.9917357850060187,7.353234047692295e-29,4.950611157825522e-133,1.4749345464696475e-14,2.503365645150983,1.3774059726526476e-129,2.93767228610453,9.631543805267702,2638.93005962035,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
