orbit_id,dataset_id,system,source_orbit_type,orbit_type,variant,libration_point,branch,resonance,source_file,source_row,x,y,z,vx,vy,vz,jacobi,period,stability,mu,length_unit_km,time_unit_s,radius_secondary,script_status
earth-moon_lyapunov_L1:000001,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,2,0.40976123461511266,-2.6988484146598425e-23,-2.9417515655701884e-26,-1.9237533891084223e-13,1.46668203725265,2.0898742783096624e-25,2.74151447391072,7.445849087853099,113.808340851814,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000002,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,3,0.40994529574940025,3.689720969637477e-23,-6.711924999572179e-25,9.024570613682829e-13,1.465980981219888,-1.814177598978438e-24,2.7416927266972,7.445777774825235,113.725117456871,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000003,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,4,0.4101294000438144,-9.958241486036425e-23,-6.417998348885521e-25,-9.630382835929668e-13,1.4652800921681222,-1.785603017046336e-24,2.74187092390657,7.44570590784721,113.641940143608,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000004,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,5,0.4103135474609002,1.697476116418466e-22,-5.861784358370358e-26,-7.581528633414396e-13,1.4645793701343948,2.5258154672084283e-25,2.7420490654989,7.445633486013112,113.558788790179,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000005,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,6,0.4104977379631926,-2.736698977186319e-24,-4.198960054481977e-25,-5.304129026879663e-13,1.4638788151558542,-8.510550327522957e-25,2.74222715143375,7.445560508415592,113.475684548135,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000006,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,7,0.41068197151318,5.237819935376212e-23,-4.2631933589494945e-25,4.1738847039083283e-13,1.4631784272696264,-1.8151050394024354e-24,2.74240518167084,7.445486974146274,113.392609589834,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000007,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,8,0.41086624807332583,-5.503939122050217e-28,-1.4675312286046996e-37,-5.349933581114866e-13,1.4624782065129645,-1.1718209309759679e-36,2.74258315616943,7.4454128822946375,113.309542146718,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000008,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,9,0.4110505676059326,-4.7580346776766036e-23,2.614627000199268e-26,-1.8022311745734304e-12,1.46177815292303,7.462012974337745e-26,2.74276107489032,7.445338231950184,113.226582794168,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000009,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,10,0.4112349300734079,1.4589975632600257e-23,4.899972178628343e-26,-6.310260765186192e-13,1.461078266536976,8.003729798632285e-25,2.74293893779295,7.445263022199363,113.14361992095,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_lyapunov_L1:000010,earth-moon_lyapunov_L1,earth-moon,lyapunov,lyapunov,L1,L1,,,earth-moon_lyapunov_L1.xlsx,11,0.4114193354380439,-2.209970125970029e-22,1.5674227204714456e-25,-4.697519183942914e-13,1.460378547392103,3.796834488111879e-25,2.7431167448371,7.445187252128363,113.060693832962,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
