orbit_id,dataset_id,system,source_orbit_type,orbit_type,variant,libration_point,branch,resonance,source_file,source_row,x,y,z,vx,vy,vz,jacobi,period,stability,mu,length_unit_km,time_unit_s,radius_secondary,script_status
earth-moon_short_L4:000001,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,2,0.487849413449431,1.4712659587392278,-7.166847997641388e-33,1.0248413867893715,-0.7882242192480047,1.1705177779386463e-31,2.0181025145306,6.285834624425885,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000002,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,3,0.487849413449431,1.471276102889539,8.36143237672103e-33,1.0248512653468498,-0.7882111539904169,3.7002380446370485e-31,2.01812475728068,6.285837107412318,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000003,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,4,0.487849413449431,1.471286253138223,5.285323527850815e-32,1.0248611491959616,-0.7881980796077681,-4.218719450524859e-31,2.01814701649344,6.2858395923245745,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000004,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,5,0.487849413449431,1.4712964094923908,1.0691121120728705e-33,1.0248710383425865,-0.788184996088649,3.9579459029474815e-32,2.01816929218966,6.285842079165369,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000005,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,6,0.487849413449431,1.4713065719581575,-7.208883675626793e-33,1.0248809327903572,-0.7881719034211147,-3.502461590308939e-31,2.01819158439345,6.285844567936958,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000006,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,7,0.487849413449431,1.4713167405430905,-4.3985964172741275e-32,1.0248908325461767,-0.7881588015939405,1.7018783701318062e-32,2.01821389312417,6.285847058642292,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000007,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,8,0.487849413449431,1.4713269152538704,-1.801760125121176e-32,1.024900737614944,-0.7881456905954313,1.0661545682862016e-31,2.01823621840415,6.285849551283848,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000008,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,9,0.487849413449431,1.4713370960977394,1.315627383372514e-32,1.0249106480028287,-0.7881325704141562,-1.0131139121883984e-32,2.0182585602539,6.285852045864339,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000009,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,10,0.487849413449431,1.4713472830810552,4.2187645895079307e-32,1.0249205637138148,-0.7881194410382478,-1.301336193252957e-31,2.01828091869718,6.285854542386192,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000010,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,11,0.487849413449431,1.471357476211329,-1.2107967971661824e-32,1.0249304847547687,-0.7881063024563398,2.889699895112297e-31,2.01830329375354,6.285857040852252,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L4:000011,earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,12,0.487849413449431,1.4713676754951648,1.0790779531791418e-32,1.024940411130279,-0.7880931546566367,-8.951471766116277e-33,2.01832568544593,6.285859541264961,1.0,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
