dataset_id,system,source_orbit_type,orbit_type,variant,libration_point,branch,resonance,source_file,family_csv,row_count,jacobi_min,jacobi_max,period_min,period_max,stability_min,stability_max,mu,length_unit_km,time_unit_s,radius_secondary,script_status
earth-moon_axial_L1,earth-moon,axial,axial,L1,L1,,,earth-moon_axial_L1.xlsx,families/axial.csv,2498,2.99179892813837,3.02083746607599,3.9520274666159665,4.065181732293027,201.307718912687,254.239834758353,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_axial_L2,earth-moon,axial,axial,L2,L2,,,earth-moon_axial_L2.xlsx,families/axial.csv,2198,2.96708305337137,3.01376751383922,4.310509145566396,4.4221730146435165,127.885025638735,167.671738642872,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_axial_L3,earth-moon,axial,axial,L3,L3,,,earth-moon_axial_L3.xlsx,families/axial.csv,6999,0.0307638069870353,1.8590896984725,6.2616198402806775,6.266608378962895,1.04986230148363,1.16074344611811,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_axial_L4,earth-moon,axial,axial,L4,L4,,,earth-moon_axial_L4.xlsx,families/axial.csv,7003,1.94014937287244,2.94602431105036,2.16874629368462,6.296598301221006,1.00000000018422,5.41221894839694,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_axial_L5,earth-moon,axial,axial,L5,L5,,,earth-moon_axial_L5.xlsx,families/axial.csv,7003,1.94014937287244,2.94602431105036,2.16874629368462,6.296598301221006,1.00000000018417,5.41221894839595,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_N,earth-moon,butterfly,butterfly,N,,N,,earth-moon_butterfly_N.xlsx,families/butterfly.csv,3238,2.74541236091503,3.09106000718193,2.7486551970631994,11.555291205753774,1.0,211.184678346281,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_butterfly_S,earth-moon,butterfly,butterfly,S,,S,,earth-moon_butterfly_S.xlsx,families/butterfly.csv,3238,2.74541236091503,3.09106000718193,2.7486551970631994,11.555291205753774,1.0,211.184678346281,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_dpo,earth-moon,dpo,dpo,,,,,earth-moon_dpo.xlsx,families/dpo.csv,5168,2.93749448467141,4.33815199075767,0.04820063633266154,9.640037345181575,1.0,2656.25369089274,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_dragonfly_N,earth-moon,dragonfly,dragonfly,N,,N,,earth-moon_dragonfly_N.xlsx,families/dragonfly.csv,1409,2.93330785573939,3.02299115838376,5.510396579508037,7.170478444336523,209.028460864691,287.459474423421,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_missing
earth-moon_dragonfly_S,earth-moon,dragonfly,dragonfly,S,,S,,earth-moon_dragonfly_S.xlsx,families/dragonfly.csv,1409,2.93330785573939,3.02299115838376,5.510396579508037,7.170478444336523,209.028460864691,287.459474423421,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_missing
earth-moon_dro,earth-moon,dro,dro,,,,,earth-moon_dro.xlsx,families/dro.csv,10998,1.5410005957354,4.60286512908412,0.03517544463121332,6.305215232757937,1.0,1.0002393302144,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
earth-moon_halo_L1_N,earth-moon,halo,halo,L1_N,L1,N,,earth-moon_halo_L1_N.xlsx,families/halo.csv,5731,0.195162730858155,3.17434351933012,1.803672065562651,3.123314392276159,1.0,1180.40653338576,0.01215058560962404,389703.264829278,382981.289129055,1737.1,supported
